user_id,order_date,product,amount
A00001,20220101,1,11.77
A00002,20220112,1,12
A00002,20220112,5,77
A00003,20220102,2,20.76
A00003,20220330,2,20.76
A00003,20220402,2,19.54
A00003,20221115,5,57.45
A00003,20221125,4,20.96
A00003,20230528,1,16.99
A00004,20220101,2,29.33
A00004,20220118,2,29.73
A00004,20220802,1,14.96
A00004,20221212,2,26.48
A00005,20220101,2,29.33
A00005,20220114,1,13.97
A00005,20220204,3,38.9
A00005,20220411,3,45.55
A00005,20220531,3,38.71
A00005,20220616,2,26.14
A00005,20220722,2,28.14
A00005,20220915,3,40.47
A00005,20221208,4,46.46
A00005,20221212,3,40.47
A00005,20230103,3,37.47
A00006,20220101,1,20.99
A00007,20220101,2,28.74
A00007,20221011,7,97.43
A00007,20230322,9,138.5
A00008,20220101,1,9.77
A00008,20220213,1,13.97
A00008,20220617,3,45.29
A00008,20220703,2,36.76
A00008,20221116,1,2.99
A00008,20221116,7,50.43
A00008,20221225,1,13.99
A00008,20230329,2,24.46
A00009,20220101,2,23.54
A00009,20220513,2,30.33
A00009,20230608,2,41.98
A00010,20220121,3,39.31
A00011,20220101,1,13.49
A00011,20220128,1,19.3
A00011,20220317,1,12.77
A00011,20230220,1,12.99
A00012,20220101,4,57.06
A00013,20220101,4,72.94
A00014,20220101,2,29.92
A00015,20220101,4,52.87
A00016,20220101,1,9.77
A00016,20220713,2,31.6
A00016,20220726,4,28.51
A00016,20220910,1,9.99
A00017,20220101,5,73.22
A00018,20220104,1,14.96
A00019,20220101,10,163.35
A00019,20220610,1,11.77
A00020,20220101,27,363.6
A00020,20220118,19,289.41
A00021,20220101,3,63.34
A00021,20220113,1,11.77
A00022,20220101,1,14.37
A00023,20220101,2,24.74
A00024,20220101,3,47.28
A00024,20230120,1,10.49
A00025,20220101,2,24.96
A00025,20220718,1,13.9
A00025,20220817,1,12.25
A00025,20221024,1,12.99
A00025,20230417,1,12.99
A00025,20230525,1,10.49
A00025,20230603,3,24.97
A00025,20230608,2,24.98
A00026,20220101,3,42.72
A00026,20220126,3,59.97
A00027,20220107,6,83.41
A00027,20220112,4,52.46
A00028,20220101,3,39.51
A00028,20220127,2,25.74
A00028,20220308,2,25.74
A00029,20220101,3,46.72
A00029,20220206,3,67.31
A00029,20220309,3,41.1
A00029,20220405,3,44.52
A00029,20220420,1,13.97
A00029,20220504,2,26.14
